# packages in environment at /home/qlyu/miniforge3/envs/img:
#
# Name                                  Version          Build                           Channel
_openmp_mutex                           4.5              7_kmp_llvm                      conda-forge
_python_abi3_support                    1.0              hd8ed1ab_2                      conda-forge
alsa-lib                                1.2.16.1         hb03c661_0                      conda-forge
aom                                     3.14.1           pl5321h039972f_1                conda-forge
aws-c-auth                              0.10.3           hd2277e8_3                      conda-forge
aws-c-cal                               0.9.14           h78948cc_2                      conda-forge
aws-c-common                            0.14.0           hb03c661_0                      conda-forge
aws-c-compression                       0.3.2            haa0cbde_2                      conda-forge
aws-c-http                              0.11.0           h6488f85_2                      conda-forge
aws-c-io                                0.26.3           h3bf836e_5                      conda-forge
aws-c-s3                                0.12.6           hb916526_0                      conda-forge
aws-c-sdkutils                          0.2.5            haa0cbde_0                      conda-forge
aws-checksums                           0.2.10           haa0cbde_2                      conda-forge
backports.zstd                          1.6.0            py311h6b1f9c4_0                 conda-forge
blosc                                   1.21.6           he440d0b_1                      conda-forge
brotli                                  1.2.0            hed03a55_1                      conda-forge
brotli-bin                              1.2.0            hb03c661_1                      conda-forge
brotli-python                           1.2.0            py311h66f275b_1                 conda-forge
brunsli                                 0.1              hd1e3526_2                      conda-forge
bzip2                                   1.0.8            hda65f42_9                      conda-forge
c-ares                                  1.34.6           hb03c661_0                      conda-forge
c-blosc2                                2.22.0           hc31b594_1                      conda-forge
ca-certificates                         2026.6.17        hbd8a1cb_0                      conda-forge
cairo                                   1.18.4           he90730b_1                      conda-forge
cellpose                                4.1.1            pyhd8ed1ab_0                    conda-forge
certifi                                 2026.6.17        pyhd8ed1ab_0                    conda-forge
charls                                  2.4.4            hecca717_0                      conda-forge
charset-normalizer                      3.4.7            pyhd8ed1ab_0                    conda-forge
click                                   8.4.1            pyhc90fa1f_0                    conda-forge
cloudpickle                             3.1.2            pyhcf101f3_1                    conda-forge
colorama                                0.4.6            pyhd8ed1ab_1                    conda-forge
contourpy                               1.3.3            py311h724c32c_4                 conda-forge
cpython                                 3.11.15          py311hd8ed1ab_1                 conda-forge
cuda-crt-tools                          13.3.33          ha770c72_0                      conda-forge
cuda-cudart                             13.3.29          hecca717_0                      conda-forge
cuda-cudart_linux-64                    13.3.29          h376f20c_0                      conda-forge
cuda-cuobjdump                          13.3.29          hffce074_0                      conda-forge
cuda-cupti                              13.3.35          h676940d_0                      conda-forge
cuda-nvcc-tools                         13.3.33          he02047a_0                      conda-forge
cuda-nvdisasm                           13.3.29          hffce074_0                      conda-forge
cuda-nvrtc                              13.3.33          hecca717_0                      conda-forge
cuda-nvtx                               13.3.29          hecca717_0                      conda-forge
cuda-nvvm-tools                         13.3.33          h4bc722e_0                      conda-forge
cuda-version                            13.3             hcbadf70_3                      conda-forge
cudnn                                   9.23.1.3         h886f0b6_0                      conda-forge
cycler                                  0.12.1           pyhcf101f3_2                    conda-forge
cyrus-sasl                              2.1.28           hac629b4_1                      conda-forge
dask-core                               2026.6.0         pyhc364b38_0                    conda-forge
dask-image                              2026.5.0         pyhd8ed1ab_1                    conda-forge
dav1d                                   1.2.1            hd590300_0                      conda-forge
dbus                                    1.16.2           h24cb091_1                      conda-forge
double-conversion                       3.4.0            hecca717_0                      conda-forge
fastremap                               1.20.0           py311h1d5f577_0                 conda-forge
ffmpeg                                  8.1.2            gpl_h1bf8424_901                conda-forge
filelock                                3.29.4           pyhd8ed1ab_0                    conda-forge
fill-voids                              2.1.2            py311h1d5f577_0                 conda-forge
fmt                                     12.1.0           hff5e90c_0                      conda-forge
font-ttf-dejavu-sans-mono               2.37             hab24e00_0                      conda-forge
font-ttf-inconsolata                    3.000            h77eed37_0                      conda-forge
font-ttf-source-code-pro                2.038            h77eed37_0                      conda-forge
font-ttf-ubuntu                         0.83             h77eed37_3                      conda-forge
fontconfig                              2.18.1           h27c8c51_0                      conda-forge
fonts-conda-ecosystem                   1                0                               conda-forge
fonts-conda-forge                       1                hc364b38_1                      conda-forge
fonttools                               4.63.0           py311h3778330_0                 conda-forge
freetype                                2.14.3           ha770c72_0                      conda-forge
fribidi                                 1.0.16           hb03c661_0                      conda-forge
fsspec                                  2026.6.0         pyhd8ed1ab_0                    conda-forge
gdk-pixbuf                              2.44.6           h2b0a6b4_0                      conda-forge
giflib                                  5.2.2            hd590300_0                      conda-forge
glslang                                 16.3.0           h96af755_0                      conda-forge
gmp                                     6.3.0            hac33072_2                      conda-forge
gmpy2                                   2.3.0            py311h92a432a_1                 conda-forge
graphite2                               1.3.15           hecca717_0                      conda-forge
h2                                      4.3.0            pyhcf101f3_0                    conda-forge
harfbuzz                                14.2.1           h6083320_0                      conda-forge
hdf5                                    2.1.0            nompi_h7d5651c_108              conda-forge
hpack                                   4.2.0            pyhd8ed1ab_0                    conda-forge
hyperframe                              6.1.0            pyhd8ed1ab_0                    conda-forge
icu                                     78.3             h33c6efd_0                      conda-forge
idna                                    3.18             pyhcf101f3_0                    conda-forge
imagecodecs                             2025.11.11       py311hd2c663a_2                 conda-forge
imageio                                 2.37.0           pyhfb79c49_0                    conda-forge
imath                                   3.2.2            hde8ca8f_0                      conda-forge
img                                     0.1.0            pypi_0                          pypi
importlib-metadata                      9.0.0            pyhcf101f3_0                    conda-forge
intel-gmmlib                            22.10.0          hb700be7_0                      conda-forge
intel-media-driver                      26.1.6           hecca717_0                      conda-forge
jinja2                                  3.1.6            pyhcf101f3_1                    conda-forge
joblib                                  1.5.3            pyhd8ed1ab_0                    conda-forge
jxrlib                                  1.1              hd590300_3                      conda-forge
keyutils                                1.6.3            hb9d3cd8_0                      conda-forge
kiwisolver                              1.5.0            py311h724c32c_0                 conda-forge
krb5                                    1.22.2           hbde042b_1                      conda-forge
lame                                    3.100            h166bdaf_1003                   conda-forge
lazy-loader                             0.5              pyhd8ed1ab_0                    conda-forge
lcms2                                   2.19.1           h0c24ade_1                      conda-forge
ld_impl_linux-64                        2.45.1           default_hbd61a6d_102            conda-forge
lerc                                    4.1.0            hdb68285_0                      conda-forge
